,ts_event,open,high,low,close,volume,product_id,ticker
4,2022-07-01 08:00:00,255.53,255.53,255.36,255.36,604,7396,MSFT
6,2022-07-01 08:01:00,255.06,255.17,255.0,255.17,230,7396,MSFT
10,2022-07-01 08:02:00,254.97,254.97,254.78,254.78,10,7396,MSFT
15,2022-07-01 08:03:00,254.91,254.91,254.78,254.8,205,7396,MSFT
18,2022-07-01 08:04:00,254.6,254.91,254.55,254.91,408,7396,MSFT
21,2022-07-01 08:05:00,254.89,254.99,254.89,254.98,156,7396,MSFT
26,2022-07-01 08:06:00,255.0,255.0,254.66,254.9,474,7396,MSFT
31,2022-07-01 08:07:00,254.63,254.69,254.55,254.69,240,7396,MSFT
34,2022-07-01 08:08:00,254.9,254.9,254.69,254.69,54,7396,MSFT
45,2022-07-01 08:10:00,254.8,254.8,254.8,254.8,136,7396,MSFT
46,2022-07-01 08:11:00,254.92,254.92,254.82,254.82,18,7396,MSFT
56,2022-07-01 08:14:00,255.3,255.46,255.3,255.46,299,7396,MSFT
63,2022-07-01 08:15:00,255.5,255.82,255.5,255.8,650,7396,MSFT
73,2022-07-01 08:18:00,255.61,255.61,255.45,255.45,29,7396,MSFT
75,2022-07-01 08:19:00,255.5,255.81,255.5,255.81,149,7396,MSFT
81,2022-07-01 08:21:00,255.8,255.8,255.8,255.8,1,7396,MSFT
91,2022-07-01 08:23:00,255.87,256.1,255.87,256.1,630,7396,MSFT
95,2022-07-01 08:25:00,256.04,256.09,256.0,256.09,184,7396,MSFT
97,2022-07-01 08:26:00,256.05,256.08,256.05,256.08,10,7396,MSFT
102,2022-07-01 08:27:00,256.1,256.1,256.1,256.1,1,7396,MSFT
103,2022-07-01 08:28:00,256.16,256.58,256.16,256.58,25,7396,MSFT
110,2022-07-01 08:31:00,256.3,256.3,256.3,256.3,52,7396,MSFT
117,2022-07-01 08:33:00,256.3,256.3,256.3,256.3,2,7396,MSFT
122,2022-07-01 08:34:00,256.12,256.12,255.71,255.71,462,7396,MSFT
128,2022-07-01 08:35:00,256.0,256.0,256.0,256.0,23,7396,MSFT
134,2022-07-01 08:39:00,256.3,256.3,256.3,256.3,11,7396,MSFT
139,2022-07-01 08:41:00,256.3,256.3,256.22,256.22,66,7396,MSFT
144,2022-07-01 08:43:00,256.22,256.22,256.22,256.22,15,7396,MSFT
147,2022-07-01 08:44:00,256.58,256.58,256.58,256.58,6,7396,MSFT
150,2022-07-01 08:45:00,256.22,256.22,256.13,256.13,4,7396,MSFT
153,2022-07-01 08:49:00,256.15,256.15,255.94,256.0,2245,7396,MSFT
156,2022-07-01 08:51:00,256.3,256.3,256.3,256.3,1,7396,MSFT
160,2022-07-01 08:54:00,256.0,256.42,256.0,256.42,131,7396,MSFT
163,2022-07-01 08:55:00,256.41,256.41,256.41,256.41,6,7396,MSFT
164,2022-07-01 08:56:00,256.43,256.49,256.43,256.49,23,7396,MSFT
172,2022-07-01 08:58:00,256.49,256.49,256.49,256.49,2,7396,MSFT
175,2022-07-01 08:59:00,256.49,256.49,256.49,256.49,1,7396,MSFT
182,2022-07-01 09:01:00,256.27,256.27,256.1,256.1,300,7396,MSFT
183,2022-07-01 09:02:00,256.28,256.28,256.28,256.28,16,7396,MSFT
192,2022-07-01 09:05:00,256.28,256.28,256.27,256.27,26,7396,MSFT
200,2022-07-01 09:07:00,256.5,256.5,256.5,256.5,2,7396,MSFT
213,2022-07-01 09:10:00,256.7,256.7,256.7,256.7,50,7396,MSFT
217,2022-07-01 09:11:00,256.54,256.54,256.54,256.54,20,7396,MSFT
225,2022-07-01 09:14:00,256.68,256.68,256.68,256.68,5,7396,MSFT
232,2022-07-01 09:17:00,256.65,256.65,256.54,256.54,110,7396,MSFT
242,2022-07-01 09:20:00,256.73,256.73,256.73,256.73,1,7396,MSFT
261,2022-07-01 09:25:00,256.81,256.81,256.81,256.81,10,7396,MSFT
263,2022-07-01 09:26:00,256.79,256.79,256.79,256.79,2,7396,MSFT
270,2022-07-01 09:27:00,256.61,256.61,256.3,256.3,301,7396,MSFT
295,2022-07-01 09:40:00,256.58,256.58,256.58,256.58,1,7396,MSFT
308,2022-07-01 09:44:00,256.58,256.58,256.58,256.58,1,7396,MSFT
311,2022-07-01 09:45:00,256.37,256.37,256.37,256.37,4,7396,MSFT
320,2022-07-01 09:49:00,256.58,256.58,256.58,256.58,2,7396,MSFT
331,2022-07-01 09:54:00,256.56,256.7,256.56,256.7,6,7396,MSFT
335,2022-07-01 09:55:00,256.81,256.81,256.81,256.81,60,7396,MSFT
337,2022-07-01 09:56:00,256.81,256.81,256.81,256.81,1,7396,MSFT
340,2022-07-01 09:59:00,256.81,256.83,256.81,256.83,604,7396,MSFT
343,2022-07-01 10:00:00,256.83,257.0,256.83,257.0,49,7396,MSFT
347,2022-07-01 10:02:00,257.0,257.0,256.88,256.88,101,7396,MSFT
353,2022-07-01 10:04:00,256.82,256.82,256.82,256.82,25,7396,MSFT
359,2022-07-01 10:07:00,256.74,256.74,256.74,256.74,1,7396,MSFT
363,2022-07-01 10:08:00,256.5,256.5,256.5,256.5,31,7396,MSFT
372,2022-07-01 10:11:00,256.53,256.57,256.53,256.57,20,7396,MSFT
374,2022-07-01 10:12:00,256.57,256.57,256.56,256.56,68,7396,MSFT
379,2022-07-01 10:13:00,256.5,256.87,256.5,256.86,58,7396,MSFT
383,2022-07-01 10:16:00,256.73,256.73,256.73,256.73,25,7396,MSFT
407,2022-07-01 10:26:00,256.8,256.83,256.73,256.83,22,7396,MSFT
428,2022-07-01 10:37:00,256.26,256.26,256.26,256.26,100,7396,MSFT
433,2022-07-01 10:39:00,256.2,256.2,256.2,256.2,40,7396,MSFT
446,2022-07-01 10:44:00,256.05,256.05,256.05,256.05,100,7396,MSFT
448,2022-07-01 10:45:00,256.05,256.05,256.05,256.05,6,7396,MSFT
450,2022-07-01 10:46:00,256.05,256.05,256.01,256.01,220,7396,MSFT
454,2022-07-01 10:47:00,256.01,256.01,256.0,256.0,388,7396,MSFT
456,2022-07-01 10:48:00,255.8,255.8,255.59,255.59,311,7396,MSFT
460,2022-07-01 10:49:00,255.72,255.81,255.39,255.39,5047,7396,MSFT
467,2022-07-01 10:51:00,255.68,255.68,255.68,255.68,5,7396,MSFT
472,2022-07-01 10:53:00,255.63,255.63,255.63,255.63,50,7396,MSFT
477,2022-07-01 10:54:00,255.63,255.63,255.57,255.57,50,7396,MSFT
478,2022-07-01 10:55:00,255.7,255.7,255.7,255.7,7,7396,MSFT
481,2022-07-01 10:56:00,255.7,255.7,255.7,255.7,3,7396,MSFT
485,2022-07-01 10:57:00,255.61,255.79,255.61,255.79,6,7396,MSFT
496,2022-07-01 11:00:00,255.76,255.85,255.61,255.85,64,7396,MSFT
512,2022-07-01 11:01:00,255.96,255.97,255.87,255.9,45,7396,MSFT
514,2022-07-01 11:02:00,255.6,255.6,255.6,255.6,20,7396,MSFT
523,2022-07-01 11:03:00,255.78,255.78,255.78,255.78,2,7396,MSFT
528,2022-07-01 11:04:00,255.8,255.92,255.8,255.92,248,7396,MSFT
534,2022-07-01 11:05:00,255.92,255.92,255.92,255.92,1,7396,MSFT
549,2022-07-01 11:08:00,255.92,255.92,255.92,255.92,1,7396,MSFT
551,2022-07-01 11:09:00,255.94,255.94,255.94,255.94,10,7396,MSFT
557,2022-07-01 11:10:00,255.94,255.94,255.94,255.94,22,7396,MSFT
560,2022-07-01 11:11:00,255.94,255.95,255.9,255.95,205,7396,MSFT
564,2022-07-01 11:12:00,256.0,256.09,256.0,256.09,546,7396,MSFT
