,ts_event,open,high,low,close,volume,product_id,ticker
3,2022-03-04 09:00:00,293.23,293.39,293.07,293.23,376,7290,MSFT
8,2022-03-04 09:01:00,293.0,293.23,293.0,293.23,12,7290,MSFT
15,2022-03-04 09:02:00,293.85,294.38,293.85,294.38,447,7290,MSFT
28,2022-03-04 09:03:00,294.0,294.0,293.8,293.8,43,7290,MSFT
29,2022-03-04 09:04:00,293.72,293.72,293.63,293.63,50,7290,MSFT
36,2022-03-04 09:05:00,293.9,293.9,293.85,293.9,113,7290,MSFT
45,2022-03-04 09:06:00,294.1,294.1,294.1,294.1,500,7290,MSFT
47,2022-03-04 09:07:00,294.38,294.4,294.26,294.26,261,7290,MSFT
58,2022-03-04 09:08:00,294.0,294.0,293.9,293.9,77,7290,MSFT
62,2022-03-04 09:09:00,293.91,293.91,293.91,293.91,50,7290,MSFT
70,2022-03-04 09:10:00,293.91,294.0,293.91,293.99,54,7290,MSFT
76,2022-03-04 09:11:00,294.21,294.26,294.03,294.03,86,7290,MSFT
86,2022-03-04 09:12:00,294.28,294.32,294.2,294.2,305,7290,MSFT
90,2022-03-04 09:13:00,294.3,294.39,294.23,294.23,78,7290,MSFT
96,2022-03-04 09:14:00,294.37,294.37,294.14,294.15,598,7290,MSFT
101,2022-03-04 09:15:00,294.15,294.15,293.8,293.8,1345,7290,MSFT
110,2022-03-04 09:16:00,293.69,294.22,293.69,294.0,1066,7290,MSFT
115,2022-03-04 09:17:00,293.92,293.97,293.7,293.7,13,7290,MSFT
128,2022-03-04 09:18:00,293.74,294.0,293.74,294.0,334,7290,MSFT
131,2022-03-04 09:19:00,294.03,294.15,294.03,294.15,45,7290,MSFT
132,2022-03-04 09:20:00,294.14,294.14,293.85,294.0,53,7290,MSFT
140,2022-03-04 09:21:00,293.92,294.0,293.59,293.59,105,7290,MSFT
150,2022-03-04 09:23:00,293.76,293.76,293.39,293.39,65,7290,MSFT
159,2022-03-04 09:24:00,293.39,293.39,293.34,293.34,4,7290,MSFT
164,2022-03-04 09:25:00,293.5,293.5,293.38,293.38,59,7290,MSFT
171,2022-03-04 09:26:00,293.34,293.61,293.34,293.61,11,7290,MSFT
175,2022-03-04 09:27:00,293.61,293.61,293.37,293.52,62,7290,MSFT
179,2022-03-04 09:28:00,293.52,293.52,293.52,293.52,59,7290,MSFT
183,2022-03-04 09:29:00,293.55,293.85,293.55,293.85,489,7290,MSFT
189,2022-03-04 09:30:00,293.95,294.0,293.95,294.0,315,7290,MSFT
217,2022-03-04 09:34:00,294.12,294.12,294.03,294.03,10,7290,MSFT
229,2022-03-04 09:36:00,294.05,294.05,294.0,294.0,160,7290,MSFT
234,2022-03-04 09:38:00,293.96,293.96,293.96,293.96,5,7290,MSFT
239,2022-03-04 09:39:00,293.96,293.96,293.89,293.89,20,7290,MSFT
246,2022-03-04 09:40:00,293.58,293.58,293.33,293.4,36,7290,MSFT
259,2022-03-04 09:41:00,293.35,293.36,293.35,293.36,62,7290,MSFT
266,2022-03-04 09:42:00,293.4,293.62,293.4,293.62,18,7290,MSFT
