,ts_event,open,high,low,close,volume,product_id,ticker
4,2022-03-21 08:00:00,300.0,300.0,299.97,300.0,176,7332,MSFT
8,2022-03-21 08:01:00,300.0,300.0,299.61,299.61,61,7332,MSFT
20,2022-03-21 08:02:00,299.72,299.8,299.18,299.18,1092,7332,MSFT
25,2022-03-21 08:03:00,299.18,299.39,299.0,299.0,189,7332,MSFT
30,2022-03-21 08:04:00,299.02,299.49,299.0,299.38,378,7332,MSFT
44,2022-03-21 08:05:00,299.38,299.38,299.0,299.3,146,7332,MSFT
51,2022-03-21 08:06:00,299.3,299.3,299.18,299.18,73,7332,MSFT
57,2022-03-21 08:07:00,299.0,299.0,298.81,298.94,289,7332,MSFT
63,2022-03-21 08:08:00,298.94,299.04,298.9,299.04,105,7332,MSFT
73,2022-03-21 08:09:00,299.05,299.05,299.05,299.05,5,7332,MSFT
75,2022-03-21 08:10:00,299.17,299.2,299.12,299.19,230,7332,MSFT
87,2022-03-21 08:11:00,299.19,299.2,299.0,299.0,319,7332,MSFT
93,2022-03-21 08:12:00,299.1,299.17,299.0,299.1,259,7332,MSFT
100,2022-03-21 08:13:00,299.0,299.0,299.0,299.0,1,7332,MSFT
109,2022-03-21 08:14:00,299.0,299.09,298.99,298.99,24,7332,MSFT
113,2022-03-21 08:15:00,298.89,298.89,298.89,298.89,1,7332,MSFT
126,2022-03-21 08:16:00,298.86,298.89,298.84,298.84,115,7332,MSFT
130,2022-03-21 08:17:00,298.86,299.0,298.86,299.0,134,7332,MSFT
136,2022-03-21 08:18:00,298.99,299.23,298.99,299.23,362,7332,MSFT
145,2022-03-21 08:19:00,299.2,299.2,299.2,299.2,5,7332,MSFT
149,2022-03-21 08:20:00,299.26,299.26,299.19,299.19,164,7332,MSFT
156,2022-03-21 08:21:00,299.14,299.18,298.95,299.0,312,7332,MSFT
166,2022-03-21 08:23:00,298.98,298.98,298.95,298.95,54,7332,MSFT
175,2022-03-21 08:24:00,298.98,298.98,298.98,298.98,1,7332,MSFT
182,2022-03-21 08:25:00,298.98,298.98,298.96,298.96,57,7332,MSFT
189,2022-03-21 08:26:00,298.99,299.04,298.85,298.85,120,7332,MSFT
194,2022-03-21 08:27:00,298.85,298.98,298.85,298.98,17,7332,MSFT
200,2022-03-21 08:28:00,298.9,298.9,298.88,298.88,38,7332,MSFT
205,2022-03-21 08:29:00,298.87,298.87,298.81,298.81,74,7332,MSFT
212,2022-03-21 08:30:00,298.85,298.98,298.85,298.98,47,7332,MSFT
223,2022-03-21 08:31:00,298.99,299.2,298.99,299.2,58,7332,MSFT
225,2022-03-21 08:32:00,299.39,299.39,299.39,299.39,33,7332,MSFT
235,2022-03-21 08:33:00,299.39,299.39,299.3,299.3,12,7332,MSFT
241,2022-03-21 08:34:00,299.24,299.25,299.17,299.17,80,7332,MSFT
250,2022-03-21 08:36:00,299.23,299.59,299.23,299.59,521,7332,MSFT
256,2022-03-21 08:37:00,299.43,299.43,299.37,299.37,33,7332,MSFT
262,2022-03-21 08:38:00,299.37,299.37,299.37,299.37,2,7332,MSFT
265,2022-03-21 08:39:00,299.59,299.59,299.4,299.42,14,7332,MSFT
269,2022-03-21 08:40:00,299.43,299.7,299.42,299.7,223,7332,MSFT
273,2022-03-21 08:41:00,299.8,299.8,299.8,299.8,31,7332,MSFT
280,2022-03-21 08:42:00,299.8,299.9,299.73,299.73,32,7332,MSFT
290,2022-03-21 08:43:00,299.74,299.74,299.74,299.74,1,7332,MSFT
292,2022-03-21 08:44:00,299.46,299.5,299.46,299.46,101,7332,MSFT
299,2022-03-21 08:45:00,299.46,299.46,299.46,299.46,5,7332,MSFT
304,2022-03-21 08:46:00,299.58,299.58,299.58,299.58,37,7332,MSFT
311,2022-03-21 08:47:00,299.57,299.57,299.33,299.33,67,7332,MSFT
316,2022-03-21 08:48:00,299.35,299.35,299.35,299.35,35,7332,MSFT
334,2022-03-21 08:51:00,299.4,299.4,299.33,299.33,34,7332,MSFT
343,2022-03-21 08:52:00,299.33,299.41,299.33,299.41,46,7332,MSFT
347,2022-03-21 08:53:00,299.29,299.4,299.11,299.4,461,7332,MSFT
355,2022-03-21 08:54:00,299.27,299.3,299.27,299.27,9,7332,MSFT
360,2022-03-21 08:55:00,299.3,299.3,299.27,299.28,33,7332,MSFT
364,2022-03-21 08:56:00,299.23,299.3,299.23,299.24,258,7332,MSFT
389,2022-03-21 09:01:00,299.38,299.4,299.38,299.4,465,7332,MSFT
391,2022-03-21 09:02:00,299.4,299.4,299.4,299.4,1,7332,MSFT
401,2022-03-21 09:04:00,299.24,299.24,299.15,299.15,262,7332,MSFT
407,2022-03-21 09:05:00,299.1,299.18,299.0,299.18,836,7332,MSFT
415,2022-03-21 09:06:00,299.1,299.1,299.1,299.1,15,7332,MSFT
420,2022-03-21 09:07:00,299.14,299.26,299.14,299.26,4,7332,MSFT
431,2022-03-21 09:09:00,299.38,299.4,299.32,299.32,16,7332,MSFT
434,2022-03-21 09:10:00,299.32,299.32,299.32,299.32,22,7332,MSFT
445,2022-03-21 09:11:00,299.32,299.32,299.23,299.23,2,7332,MSFT
456,2022-03-21 09:12:00,299.27,299.27,299.2,299.21,157,7332,MSFT
460,2022-03-21 09:13:00,299.19,299.19,299.19,299.19,10,7332,MSFT
468,2022-03-21 09:14:00,299.19,299.21,299.19,299.21,121,7332,MSFT
475,2022-03-21 09:15:00,299.2,299.2,299.2,299.2,1,7332,MSFT
481,2022-03-21 09:16:00,299.21,299.21,299.21,299.21,30,7332,MSFT
493,2022-03-21 09:17:00,299.22,299.22,299.22,299.22,99,7332,MSFT
497,2022-03-21 09:18:00,299.31,299.31,299.31,299.31,16,7332,MSFT
505,2022-03-21 09:19:00,299.31,299.47,299.31,299.47,5,7332,MSFT
510,2022-03-21 09:20:00,299.47,299.56,299.47,299.56,90,7332,MSFT
513,2022-03-21 09:21:00,299.72,299.75,299.71,299.75,37,7332,MSFT
523,2022-03-21 09:22:00,299.89,299.89,299.88,299.88,101,7332,MSFT
