,ts_event,open,high,low,close,volume,product_id,ticker
2,2022-06-03 08:00:00,273.14,273.14,272.72,273.1,17,7373,MSFT
7,2022-06-03 08:01:00,273.1,273.1,272.52,272.55,72,7373,MSFT
10,2022-06-03 08:02:00,272.56,272.56,272.26,272.26,247,7373,MSFT
16,2022-06-03 08:03:00,272.27,272.57,272.27,272.57,117,7373,MSFT
19,2022-06-03 08:04:00,272.6,272.7,272.6,272.7,165,7373,MSFT
29,2022-06-03 08:05:00,272.67,272.8,272.67,272.8,15,7373,MSFT
30,2022-06-03 08:06:00,272.7,272.75,272.7,272.75,11,7373,MSFT
36,2022-06-03 08:07:00,272.72,272.72,272.72,272.72,93,7373,MSFT
41,2022-06-03 08:08:00,272.6,272.63,272.5,272.56,46,7373,MSFT
49,2022-06-03 08:10:00,272.69,272.7,272.67,272.7,23,7373,MSFT
54,2022-06-03 08:11:00,272.7,272.7,272.65,272.65,249,7373,MSFT
58,2022-06-03 08:12:00,272.71,272.71,272.71,272.71,12,7373,MSFT
61,2022-06-03 08:13:00,272.9,273.21,272.9,273.08,121,7373,MSFT
68,2022-06-03 08:14:00,273.32,273.38,273.32,273.32,109,7373,MSFT
71,2022-06-03 08:15:00,273.32,273.32,273.32,273.32,7,7373,MSFT
76,2022-06-03 08:16:00,273.32,273.32,273.32,273.32,10,7373,MSFT
80,2022-06-03 08:17:00,273.05,273.27,273.05,273.27,5,7373,MSFT
85,2022-06-03 08:18:00,273.19,273.25,272.98,273.0,160,7373,MSFT
93,2022-06-03 08:19:00,273.03,273.03,273.03,273.03,20,7373,MSFT
97,2022-06-03 08:20:00,273.21,273.42,273.21,273.42,12,7373,MSFT
100,2022-06-03 08:21:00,273.27,273.31,273.27,273.31,3,7373,MSFT
107,2022-06-03 08:24:00,273.03,273.03,273.03,273.03,2,7373,MSFT
118,2022-06-03 08:26:00,273.09,273.09,273.09,273.09,8,7373,MSFT
124,2022-06-03 08:27:00,273.1,273.1,273.1,273.1,3,7373,MSFT
128,2022-06-03 08:28:00,273.04,273.04,273.0,273.0,10,7373,MSFT
129,2022-06-03 08:29:00,272.99,272.99,272.85,272.85,49,7373,MSFT
134,2022-06-03 08:30:00,272.95,272.95,272.88,272.88,29,7373,MSFT
136,2022-06-03 08:31:00,273.0,273.0,272.86,272.86,39,7373,MSFT
138,2022-06-03 08:32:00,272.86,272.86,272.86,272.86,1,7373,MSFT
145,2022-06-03 08:33:00,273.0,273.1,273.0,273.1,77,7373,MSFT
147,2022-06-03 08:34:00,273.1,273.24,273.1,273.24,93,7373,MSFT
149,2022-06-03 08:35:00,273.23,273.23,273.21,273.23,77,7373,MSFT
154,2022-06-03 08:36:00,273.11,273.11,273.07,273.09,5,7373,MSFT
156,2022-06-03 08:37:00,273.09,273.09,273.04,273.04,12,7373,MSFT
159,2022-06-03 08:38:00,273.03,273.23,273.03,273.23,37,7373,MSFT
162,2022-06-03 08:39:00,273.18,273.22,273.18,273.22,26,7373,MSFT
166,2022-06-03 08:40:00,273.12,273.12,272.96,273.0,17,7373,MSFT
173,2022-06-03 08:43:00,273.08,273.1,273.02,273.02,524,7373,MSFT
177,2022-06-03 08:44:00,273.04,273.04,273.0,273.0,479,7373,MSFT
179,2022-06-03 08:45:00,273.0,273.1,273.0,273.1,73,7373,MSFT
182,2022-06-03 08:46:00,273.18,273.18,273.11,273.11,3,7373,MSFT
