,ts_event,open,high,low,close,volume,product_id,ticker
1,2022-12-14 09:00:00,257.5,257.5,257.11,257.11,21,7207,MSFT
9,2022-12-14 09:01:00,257.14,257.14,257.13,257.13,15,7207,MSFT
16,2022-12-14 09:02:00,257.16,257.16,257.16,257.16,5,7207,MSFT
34,2022-12-14 09:08:00,257.15,257.15,257.15,257.15,1,7207,MSFT
38,2022-12-14 09:09:00,256.93,256.93,256.69,256.69,70,7207,MSFT
47,2022-12-14 09:11:00,256.99,256.99,256.99,256.99,1,7207,MSFT
54,2022-12-14 09:13:00,256.99,256.99,256.65,256.65,48,7207,MSFT
59,2022-12-14 09:14:00,256.78,256.78,256.78,256.78,5,7207,MSFT
64,2022-12-14 09:15:00,256.94,256.94,256.94,256.94,100,7207,MSFT
69,2022-12-14 09:17:00,256.9,256.9,256.9,256.9,1,7207,MSFT
72,2022-12-14 09:18:00,256.85,256.85,256.85,256.85,1,7207,MSFT
76,2022-12-14 09:19:00,256.51,256.51,256.51,256.51,1,7207,MSFT
82,2022-12-14 09:21:00,256.65,256.65,256.65,256.65,5,7207,MSFT
87,2022-12-14 09:23:00,256.71,256.71,256.71,256.71,34,7207,MSFT
114,2022-12-14 09:36:00,256.74,257.0,256.74,257.0,14,7207,MSFT
125,2022-12-14 09:42:00,256.8,256.8,256.8,256.8,10,7207,MSFT
140,2022-12-14 09:49:00,256.8,256.8,256.8,256.8,1,7207,MSFT
142,2022-12-14 09:50:00,256.8,256.8,256.8,256.8,1,7207,MSFT
155,2022-12-14 09:53:00,256.7,256.7,256.69,256.69,12,7207,MSFT
164,2022-12-14 09:55:00,256.87,256.87,256.87,256.87,5,7207,MSFT
166,2022-12-14 09:56:00,256.98,257.16,256.98,257.03,149,7207,MSFT
168,2022-12-14 09:57:00,257.05,257.26,257.05,257.26,82,7207,MSFT
175,2022-12-14 10:00:00,257.26,257.26,257.26,257.26,10,7207,MSFT
199,2022-12-14 10:10:00,257.03,257.04,257.03,257.04,10,7207,MSFT
203,2022-12-14 10:11:00,257.0,257.07,257.0,257.07,100,7207,MSFT
230,2022-12-14 10:19:00,256.86,257.06,256.86,257.06,49,7207,MSFT
240,2022-12-14 10:23:00,257.07,257.07,257.07,257.07,10,7207,MSFT
243,2022-12-14 10:24:00,257.07,257.07,257.07,257.07,1,7207,MSFT
253,2022-12-14 10:28:00,257.18,257.18,257.18,257.18,2,7207,MSFT
268,2022-12-14 10:33:00,257.03,257.03,257.03,257.03,5,7207,MSFT
274,2022-12-14 10:35:00,257.04,257.04,257.04,257.04,1,7207,MSFT
287,2022-12-14 10:41:00,257.03,257.03,257.03,257.03,1,7207,MSFT
299,2022-12-14 10:45:00,256.97,256.97,256.97,256.97,1,7207,MSFT
302,2022-12-14 10:46:00,256.97,256.97,256.97,256.97,40,7207,MSFT
306,2022-12-14 10:48:00,256.97,256.97,256.97,256.97,5,7207,MSFT
312,2022-12-14 10:50:00,256.97,256.97,256.93,256.93,10,7207,MSFT
318,2022-12-14 10:53:00,256.93,256.93,256.93,256.93,11,7207,MSFT
320,2022-12-14 10:54:00,257.03,257.03,257.03,257.03,1,7207,MSFT
337,2022-12-14 11:02:00,256.98,256.98,256.98,256.98,54,7207,MSFT
350,2022-12-14 11:08:00,256.98,256.98,256.98,256.98,7,7207,MSFT
361,2022-12-14 11:11:00,256.85,256.85,256.72,256.72,36,7207,MSFT
364,2022-12-14 11:12:00,256.67,256.67,256.5,256.5,465,7207,MSFT
366,2022-12-14 11:13:00,256.5,256.5,256.5,256.5,10,7207,MSFT
391,2022-12-14 11:22:00,256.22,256.22,256.22,256.22,58,7207,MSFT
393,2022-12-14 11:23:00,256.14,256.14,256.14,256.14,20,7207,MSFT
399,2022-12-14 11:26:00,256.32,256.32,256.32,256.32,32,7207,MSFT
402,2022-12-14 11:28:00,256.43,256.43,256.43,256.43,20,7207,MSFT
414,2022-12-14 11:33:00,256.52,256.52,256.52,256.52,1,7207,MSFT
