,ts_event,open,high,low,close,volume,product_id,ticker
1,2022-07-06 08:00:00,263.41,263.97,263.41,263.97,54,7401,MSFT
9,2022-07-06 08:01:00,263.97,263.99,263.97,263.99,147,7401,MSFT
11,2022-07-06 08:02:00,263.6,263.8,263.51,263.51,401,7401,MSFT
22,2022-07-06 08:03:00,263.41,263.41,263.29,263.29,39,7401,MSFT
24,2022-07-06 08:04:00,263.4,263.4,262.77,262.77,503,7401,MSFT
33,2022-07-06 08:05:00,262.83,263.3,262.62,263.3,222,7401,MSFT
35,2022-07-06 08:06:00,263.3,263.3,263.1,263.1,60,7401,MSFT
41,2022-07-06 08:07:00,263.3,263.59,263.25,263.59,320,7401,MSFT
50,2022-07-06 08:08:00,263.59,263.85,263.49,263.85,131,7401,MSFT
55,2022-07-06 08:09:00,263.6,263.6,263.29,263.29,107,7401,MSFT
65,2022-07-06 08:11:00,263.44,263.44,263.44,263.44,17,7401,MSFT
70,2022-07-06 08:12:00,263.43,263.43,263.43,263.43,34,7401,MSFT
76,2022-07-06 08:13:00,263.67,263.8,263.67,263.8,100,7401,MSFT
81,2022-07-06 08:14:00,263.79,263.8,263.34,263.34,308,7401,MSFT
82,2022-07-06 08:15:00,263.32,263.32,263.32,263.32,2,7401,MSFT
88,2022-07-06 08:16:00,263.39,263.39,263.38,263.38,15,7401,MSFT
90,2022-07-06 08:17:00,263.1,263.22,263.1,263.22,12,7401,MSFT
95,2022-07-06 08:18:00,263.1,263.1,263.0,263.0,15,7401,MSFT
102,2022-07-06 08:19:00,262.91,262.91,262.91,262.91,6,7401,MSFT
104,2022-07-06 08:20:00,262.91,262.91,262.91,262.91,10,7401,MSFT
107,2022-07-06 08:21:00,263.2,263.25,263.2,263.24,649,7401,MSFT
120,2022-07-06 08:24:00,263.11,263.11,263.11,263.11,2,7401,MSFT
124,2022-07-06 08:26:00,262.99,262.99,262.99,262.99,1,7401,MSFT
125,2022-07-06 08:27:00,262.99,262.99,262.99,262.99,19,7401,MSFT
137,2022-07-06 08:31:00,262.51,262.51,262.44,262.44,101,7401,MSFT
142,2022-07-06 08:32:00,262.44,262.44,262.32,262.32,2,7401,MSFT
145,2022-07-06 08:33:00,262.39,262.43,262.34,262.34,207,7401,MSFT
154,2022-07-06 08:34:00,262.35,262.35,262.33,262.33,41,7401,MSFT
159,2022-07-06 08:35:00,262.33,262.68,262.33,262.68,2,7401,MSFT
164,2022-07-06 08:37:00,262.6,262.6,262.58,262.58,68,7401,MSFT
171,2022-07-06 08:38:00,262.62,262.62,262.62,262.62,4,7401,MSFT
177,2022-07-06 08:39:00,262.49,262.49,262.49,262.49,1,7401,MSFT
181,2022-07-06 08:40:00,262.47,262.47,262.47,262.47,1,7401,MSFT
187,2022-07-06 08:42:00,262.16,262.16,262.0,262.09,317,7401,MSFT
191,2022-07-06 08:43:00,262.08,262.09,262.0,262.09,6,7401,MSFT
219,2022-07-06 08:50:00,262.37,262.37,262.08,262.21,76,7401,MSFT
224,2022-07-06 08:51:00,262.21,262.33,262.21,262.33,60,7401,MSFT
230,2022-07-06 08:52:00,262.33,262.35,262.33,262.35,40,7401,MSFT
235,2022-07-06 08:53:00,262.4,262.44,262.4,262.44,125,7401,MSFT
240,2022-07-06 08:54:00,262.43,262.43,262.43,262.43,1,7401,MSFT
249,2022-07-06 08:56:00,262.57,262.57,262.57,262.57,3,7401,MSFT
257,2022-07-06 08:57:00,262.43,262.43,262.42,262.42,3,7401,MSFT
268,2022-07-06 09:02:00,262.28,262.28,262.28,262.28,66,7401,MSFT
276,2022-07-06 09:05:00,262.09,262.09,262.06,262.06,64,7401,MSFT
279,2022-07-06 09:06:00,262.06,262.06,262.06,262.06,38,7401,MSFT
281,2022-07-06 09:07:00,262.27,262.27,262.1,262.2,58,7401,MSFT
289,2022-07-06 09:10:00,262.23,262.23,262.23,262.23,1,7401,MSFT
310,2022-07-06 09:19:00,262.31,262.52,262.31,262.52,300,7401,MSFT
323,2022-07-06 09:24:00,262.56,262.65,262.56,262.65,100,7401,MSFT
