,ts_event,open,high,low,close,volume,product_id,ticker
3,2022-03-28 08:00:00,303.72,303.72,303.28,303.62,112,7346,MSFT
15,2022-03-28 08:01:00,303.62,303.62,303.33,303.33,33,7346,MSFT
19,2022-03-28 08:02:00,303.33,303.33,303.3,303.33,16,7346,MSFT
28,2022-03-28 08:03:00,303.5,303.55,303.3,303.3,854,7346,MSFT
40,2022-03-28 08:04:00,303.3,303.3,303.3,303.3,146,7346,MSFT
47,2022-03-28 08:05:00,303.3,303.37,303.07,303.07,690,7346,MSFT
53,2022-03-28 08:06:00,303.07,303.29,303.07,303.07,15,7346,MSFT
59,2022-03-28 08:07:00,303.06,303.34,303.06,303.09,924,7346,MSFT
69,2022-03-28 08:08:00,303.16,303.3,303.09,303.3,510,7346,MSFT
73,2022-03-28 08:09:00,303.1,303.11,303.1,303.11,115,7346,MSFT
80,2022-03-28 08:10:00,303.12,303.15,303.12,303.15,110,7346,MSFT
87,2022-03-28 08:11:00,303.16,303.2,303.15,303.16,595,7346,MSFT
93,2022-03-28 08:12:00,303.16,303.2,303.16,303.2,6,7346,MSFT
96,2022-03-28 08:13:00,303.19,303.25,303.19,303.25,18,7346,MSFT
104,2022-03-28 08:14:00,303.25,303.3,303.25,303.3,59,7346,MSFT
108,2022-03-28 08:15:00,303.34,303.34,303.32,303.34,106,7346,MSFT
111,2022-03-28 08:16:00,303.45,303.48,303.45,303.48,103,7346,MSFT
122,2022-03-28 08:17:00,303.48,303.69,303.48,303.53,517,7346,MSFT
128,2022-03-28 08:19:00,303.55,303.55,303.54,303.54,52,7346,MSFT
133,2022-03-28 08:20:00,303.5,303.5,303.5,303.5,5,7346,MSFT
139,2022-03-28 08:21:00,303.51,303.6,303.51,303.6,544,7346,MSFT
141,2022-03-28 08:22:00,303.6,303.76,303.6,303.76,271,7346,MSFT
147,2022-03-28 08:23:00,303.75,303.76,303.75,303.75,6,7346,MSFT
153,2022-03-28 08:24:00,303.7,303.7,303.7,303.7,302,7346,MSFT
157,2022-03-28 08:25:00,303.75,303.75,303.75,303.75,29,7346,MSFT
162,2022-03-28 08:26:00,303.7,303.75,303.6,303.75,496,7346,MSFT
171,2022-03-28 08:27:00,303.62,303.62,303.61,303.61,23,7346,MSFT
174,2022-03-28 08:28:00,303.64,303.64,303.64,303.64,1,7346,MSFT
180,2022-03-28 08:29:00,303.64,303.64,303.64,303.64,2,7346,MSFT
189,2022-03-28 08:30:00,303.64,303.64,303.6,303.6,220,7346,MSFT
195,2022-03-28 08:31:00,303.51,303.51,303.48,303.5,889,7346,MSFT
198,2022-03-28 08:32:00,303.45,303.47,303.45,303.47,7,7346,MSFT
201,2022-03-28 08:33:00,303.47,303.47,303.47,303.47,1,7346,MSFT
205,2022-03-28 08:34:00,303.47,303.47,303.47,303.47,305,7346,MSFT
208,2022-03-28 08:35:00,303.51,303.51,303.48,303.48,350,7346,MSFT
212,2022-03-28 08:36:00,303.53,303.53,303.47,303.47,485,7346,MSFT
216,2022-03-28 08:37:00,303.45,303.45,303.45,303.45,1,7346,MSFT
221,2022-03-28 08:38:00,303.5,303.5,303.5,303.5,1,7346,MSFT
227,2022-03-28 08:40:00,303.42,303.48,303.41,303.48,78,7346,MSFT
230,2022-03-28 08:41:00,303.48,303.51,303.48,303.51,20,7346,MSFT
233,2022-03-28 08:42:00,303.51,303.53,303.51,303.53,39,7346,MSFT
239,2022-03-28 08:43:00,303.53,303.53,303.53,303.53,8,7346,MSFT
245,2022-03-28 08:45:00,303.57,303.6,303.57,303.6,121,7346,MSFT
259,2022-03-28 08:48:00,303.63,303.7,303.62,303.7,422,7346,MSFT
264,2022-03-28 08:49:00,303.7,303.7,303.7,303.7,867,7346,MSFT
270,2022-03-28 08:50:00,303.61,303.61,303.48,303.48,47,7346,MSFT
276,2022-03-28 08:51:00,303.48,303.6,303.48,303.6,3,7346,MSFT
282,2022-03-28 08:53:00,303.54,303.55,303.48,303.55,97,7346,MSFT
285,2022-03-28 08:54:00,303.53,303.55,303.53,303.55,334,7346,MSFT
295,2022-03-28 08:55:00,303.52,303.52,303.48,303.48,32,7346,MSFT
297,2022-03-28 08:56:00,303.5,303.5,303.48,303.48,35,7346,MSFT
301,2022-03-28 08:57:00,303.48,303.48,303.48,303.48,104,7346,MSFT
304,2022-03-28 08:58:00,303.48,303.58,303.48,303.58,2,7346,MSFT
305,2022-03-28 08:59:00,303.57,303.57,303.57,303.57,2,7346,MSFT
312,2022-03-28 09:00:00,303.48,303.57,303.48,303.57,29,7346,MSFT
315,2022-03-28 09:01:00,303.48,303.5,303.47,303.49,364,7346,MSFT
318,2022-03-28 09:02:00,303.48,303.48,303.48,303.48,5,7346,MSFT
328,2022-03-28 09:03:00,303.38,303.38,303.35,303.35,594,7346,MSFT
330,2022-03-28 09:04:00,303.35,303.35,303.35,303.35,30,7346,MSFT
336,2022-03-28 09:06:00,303.36,303.36,303.35,303.35,102,7346,MSFT
343,2022-03-28 09:07:00,303.37,303.39,303.36,303.36,12,7346,MSFT
346,2022-03-28 09:08:00,303.36,303.36,303.36,303.36,50,7346,MSFT
354,2022-03-28 09:09:00,303.36,303.43,303.35,303.35,101,7346,MSFT
358,2022-03-28 09:10:00,303.35,303.35,303.35,303.35,4,7346,MSFT
368,2022-03-28 09:12:00,303.43,303.43,303.43,303.43,1,7346,MSFT
377,2022-03-28 09:15:00,303.45,303.45,303.18,303.18,632,7346,MSFT
382,2022-03-28 09:16:00,303.18,303.18,303.18,303.18,6,7346,MSFT
390,2022-03-28 09:18:00,303.18,303.18,303.18,303.18,4,7346,MSFT
392,2022-03-28 09:19:00,303.25,303.25,302.91,302.91,735,7346,MSFT
399,2022-03-28 09:21:00,302.85,302.87,302.85,302.87,11,7346,MSFT
402,2022-03-28 09:22:00,303.0,303.0,303.0,303.0,12,7346,MSFT
405,2022-03-28 09:23:00,303.03,303.03,303.0,303.0,5,7346,MSFT
