,ts_event,open,high,low,close,volume,product_id,ticker
1,2022-12-28 09:00:00,237.08,237.08,236.9,236.9,811,7107,MSFT
10,2022-12-28 09:01:00,237.0,237.0,237.0,237.0,10,7107,MSFT
14,2022-12-28 09:02:00,236.88,236.88,236.88,236.88,10,7107,MSFT
18,2022-12-28 09:03:00,236.98,236.98,236.98,236.98,14,7107,MSFT
32,2022-12-28 09:05:00,236.96,237.0,236.86,236.86,345,7107,MSFT
39,2022-12-28 09:07:00,237.1,237.1,237.1,237.1,278,7107,MSFT
43,2022-12-28 09:08:00,237.09,237.1,237.0,237.06,495,7107,MSFT
52,2022-12-28 09:10:00,237.0,237.0,236.79,236.79,7,7107,MSFT
54,2022-12-28 09:11:00,236.75,236.75,236.75,236.75,1,7107,MSFT
67,2022-12-28 09:14:00,236.75,236.75,236.75,236.75,2,7107,MSFT
70,2022-12-28 09:15:00,236.75,236.8,236.57,236.57,591,7107,MSFT
74,2022-12-28 09:16:00,236.58,236.62,236.54,236.55,600,7107,MSFT
78,2022-12-28 09:17:00,236.55,236.55,236.47,236.47,350,7107,MSFT
80,2022-12-28 09:18:00,236.45,236.5,236.44,236.5,538,7107,MSFT
89,2022-12-28 09:20:00,236.51,236.51,236.51,236.51,100,7107,MSFT
92,2022-12-28 09:21:00,236.54,236.54,236.54,236.54,1,7107,MSFT
107,2022-12-28 09:27:00,236.5,236.5,236.5,236.5,1,7107,MSFT
119,2022-12-28 09:31:00,236.5,236.54,236.5,236.53,299,7107,MSFT
123,2022-12-28 09:32:00,236.67,236.67,236.61,236.61,50,7107,MSFT
137,2022-12-28 09:36:00,236.76,236.84,236.76,236.84,145,7107,MSFT
144,2022-12-28 09:38:00,236.8,236.8,236.8,236.8,145,7107,MSFT
150,2022-12-28 09:41:00,236.56,236.68,236.54,236.68,151,7107,MSFT
158,2022-12-28 09:42:00,236.68,236.68,236.68,236.68,100,7107,MSFT
161,2022-12-28 09:43:00,236.68,236.68,236.68,236.68,15,7107,MSFT
164,2022-12-28 09:44:00,236.68,236.72,236.68,236.72,6,7107,MSFT
167,2022-12-28 09:45:00,236.8,237.0,236.8,237.0,145,7107,MSFT
175,2022-12-28 09:46:00,236.97,236.97,236.97,236.97,1,7107,MSFT
183,2022-12-28 09:48:00,236.97,236.99,236.77,236.77,294,7107,MSFT
187,2022-12-28 09:49:00,236.99,237.19,236.91,236.91,125,7107,MSFT
192,2022-12-28 09:51:00,236.99,237.15,236.99,237.14,139,7107,MSFT
193,2022-12-28 09:52:00,237.11,237.24,237.11,237.24,133,7107,MSFT
199,2022-12-28 09:54:00,237.25,237.25,237.25,237.25,34,7107,MSFT
201,2022-12-28 09:55:00,237.33,237.33,237.33,237.33,133,7107,MSFT
205,2022-12-28 09:56:00,237.11,237.11,237.11,237.11,25,7107,MSFT
215,2022-12-28 09:59:00,237.11,237.11,237.11,237.11,22,7107,MSFT
221,2022-12-28 10:02:00,237.2,237.2,237.2,237.2,10,7107,MSFT
225,2022-12-28 10:03:00,237.11,237.11,237.11,237.11,25,7107,MSFT
241,2022-12-28 10:09:00,237.03,237.03,237.03,237.03,2,7107,MSFT
249,2022-12-28 10:11:00,237.09,237.09,237.09,237.09,2,7107,MSFT
251,2022-12-28 10:12:00,237.07,237.07,237.07,237.07,9,7107,MSFT
260,2022-12-28 10:15:00,237.1,237.1,237.1,237.1,7,7107,MSFT
271,2022-12-28 10:20:00,237.37,237.37,237.37,237.37,2,7107,MSFT
274,2022-12-28 10:21:00,237.5,237.5,237.5,237.5,4,7107,MSFT
283,2022-12-28 10:22:00,237.4,237.4,237.4,237.4,1,7107,MSFT
286,2022-12-28 10:24:00,237.37,237.37,237.37,237.37,20,7107,MSFT
304,2022-12-28 10:30:00,237.3,237.39,237.3,237.39,18,7107,MSFT
319,2022-12-28 10:36:00,237.11,237.11,237.07,237.07,11,7107,MSFT
329,2022-12-28 10:40:00,237.25,237.25,237.25,237.25,25,7107,MSFT
336,2022-12-28 10:42:00,237.28,237.29,237.28,237.29,75,7107,MSFT
342,2022-12-28 10:45:00,237.28,237.29,237.28,237.29,150,7107,MSFT
346,2022-12-28 10:46:00,237.29,237.29,237.29,237.29,41,7107,MSFT
355,2022-12-28 10:50:00,237.26,237.26,237.26,237.26,2,7107,MSFT
359,2022-12-28 10:52:00,237.26,237.26,237.26,237.26,4,7107,MSFT
363,2022-12-28 10:53:00,237.28,237.28,237.28,237.28,45,7107,MSFT
365,2022-12-28 10:54:00,237.27,237.27,237.18,237.18,66,7107,MSFT
372,2022-12-28 10:55:00,237.16,237.16,237.13,237.13,133,7107,MSFT
377,2022-12-28 10:56:00,237.15,237.19,237.07,237.12,684,7107,MSFT
383,2022-12-28 10:57:00,237.04,237.18,237.0,237.0,158,7107,MSFT
