,ts_event,open,high,low,close,volume,product_id,ticker
3,2022-05-09 08:00:00,271.63,271.92,271.21,271.92,128,7365,MSFT
8,2022-05-09 08:01:00,271.21,271.21,271.1,271.1,2600,7365,MSFT
14,2022-05-09 08:02:00,271.16,271.24,271.0,271.0,362,7365,MSFT
18,2022-05-09 08:03:00,270.99,271.05,270.78,270.85,368,7365,MSFT
26,2022-05-09 08:04:00,270.8,271.02,270.5,271.02,1394,7365,MSFT
33,2022-05-09 08:05:00,271.0,271.0,270.51,270.52,78,7365,MSFT
37,2022-05-09 08:06:00,270.55,270.68,270.5,270.68,390,7365,MSFT
41,2022-05-09 08:07:00,270.67,270.67,270.5,270.58,283,7365,MSFT
46,2022-05-09 08:08:00,270.68,270.75,270.58,270.64,135,7365,MSFT
53,2022-05-09 08:09:00,270.64,270.98,270.58,270.77,1396,7365,MSFT
58,2022-05-09 08:10:00,270.7,271.18,270.65,271.18,889,7365,MSFT
67,2022-05-09 08:11:00,271.23,271.33,271.17,271.23,453,7365,MSFT
69,2022-05-09 08:12:00,271.01,271.01,271.0,271.0,251,7365,MSFT
76,2022-05-09 08:13:00,271.0,271.16,271.0,271.16,643,7365,MSFT
82,2022-05-09 08:14:00,271.16,271.16,271.0,271.0,112,7365,MSFT
89,2022-05-09 08:15:00,271.03,271.16,271.0,271.0,399,7365,MSFT
94,2022-05-09 08:16:00,271.0,271.04,270.98,271.0,609,7365,MSFT
96,2022-05-09 08:17:00,271.04,271.08,271.04,271.08,3,7365,MSFT
105,2022-05-09 08:18:00,270.9,270.9,270.9,270.9,10,7365,MSFT
107,2022-05-09 08:19:00,270.9,270.9,270.78,270.78,13,7365,MSFT
115,2022-05-09 08:20:00,270.78,270.83,270.78,270.83,150,7365,MSFT
118,2022-05-09 08:21:00,270.72,270.83,270.72,270.83,8,7365,MSFT
122,2022-05-09 08:22:00,271.0,271.0,270.63,270.8,255,7365,MSFT
129,2022-05-09 08:24:00,270.63,270.63,270.5,270.55,109,7365,MSFT
133,2022-05-09 08:25:00,270.58,270.79,270.58,270.72,48,7365,MSFT
138,2022-05-09 08:26:00,270.56,270.56,270.5,270.5,200,7365,MSFT
145,2022-05-09 08:27:00,270.5,270.58,270.41,270.41,53,7365,MSFT
148,2022-05-09 08:28:00,270.63,270.64,270.44,270.64,33,7365,MSFT
154,2022-05-09 08:30:00,270.56,270.56,270.5,270.5,10,7365,MSFT
158,2022-05-09 08:31:00,270.58,270.58,270.02,270.15,548,7365,MSFT
169,2022-05-09 08:32:00,270.21,270.22,270.0,270.18,770,7365,MSFT
175,2022-05-09 08:33:00,270.19,270.19,270.0,270.15,891,7365,MSFT
183,2022-05-09 08:34:00,269.98,270.15,269.76,269.77,467,7365,MSFT
187,2022-05-09 08:35:00,269.75,269.75,269.63,269.63,174,7365,MSFT
200,2022-05-09 08:36:00,269.65,269.66,269.65,269.66,94,7365,MSFT
203,2022-05-09 08:37:00,269.66,269.75,269.6,269.62,277,7365,MSFT
211,2022-05-09 08:38:00,269.62,269.75,269.62,269.75,31,7365,MSFT
220,2022-05-09 08:39:00,269.75,269.81,269.75,269.79,101,7365,MSFT
226,2022-05-09 08:40:00,269.76,269.76,269.73,269.76,30,7365,MSFT
229,2022-05-09 08:41:00,269.73,270.03,269.7,269.99,329,7365,MSFT
236,2022-05-09 08:42:00,269.8,269.99,269.8,269.83,116,7365,MSFT
242,2022-05-09 08:43:00,269.85,270.02,269.85,270.0,67,7365,MSFT
248,2022-05-09 08:44:00,269.88,270.0,269.88,270.0,368,7365,MSFT
250,2022-05-09 08:45:00,270.0,270.25,270.0,270.25,262,7365,MSFT
257,2022-05-09 08:46:00,270.02,270.08,269.97,270.08,61,7365,MSFT
259,2022-05-09 08:47:00,270.04,270.05,270.03,270.05,42,7365,MSFT
261,2022-05-09 08:48:00,270.08,270.2,270.07,270.13,30,7365,MSFT
270,2022-05-09 08:49:00,270.2,270.45,270.06,270.45,500,7365,MSFT
275,2022-05-09 08:50:00,270.44,270.45,270.42,270.42,200,7365,MSFT
285,2022-05-09 08:51:00,270.5,270.74,270.5,270.74,435,7365,MSFT
289,2022-05-09 08:52:00,270.6,270.69,270.5,270.66,156,7365,MSFT
295,2022-05-09 08:53:00,270.5,270.67,270.48,270.67,139,7365,MSFT
