,ts_event,open,high,low,close,volume,product_id,ticker
6,2022-08-22 08:00:00,283.0,283.11,282.9,283.11,51,7365,MSFT
10,2022-08-22 08:01:00,283.0,283.0,282.3,282.3,139,7365,MSFT
20,2022-08-22 08:02:00,282.3,282.3,282.1,282.1,31,7365,MSFT
28,2022-08-22 08:03:00,282.23,282.3,282.1,282.1,1200,7365,MSFT
40,2022-08-22 08:04:00,282.1,282.15,282.06,282.1,1281,7365,MSFT
46,2022-08-22 08:05:00,282.0,282.1,281.77,281.78,754,7365,MSFT
57,2022-08-22 08:06:00,281.78,282.1,281.78,281.84,756,7365,MSFT
62,2022-08-22 08:07:00,281.76,281.96,281.73,281.96,22,7365,MSFT
66,2022-08-22 08:08:00,282.1,282.1,281.96,281.96,104,7365,MSFT
75,2022-08-22 08:09:00,281.96,282.0,281.76,282.0,209,7365,MSFT
83,2022-08-22 08:10:00,282.01,282.14,281.71,281.71,380,7365,MSFT
85,2022-08-22 08:11:00,281.7,281.82,281.55,281.76,101,7365,MSFT
94,2022-08-22 08:12:00,281.8,281.8,281.6,281.78,7,7365,MSFT
98,2022-08-22 08:13:00,281.7,281.86,281.3,281.56,1687,7365,MSFT
105,2022-08-22 08:14:00,281.36,281.65,281.0,281.3,903,7365,MSFT
120,2022-08-22 08:15:00,281.3,281.5,281.3,281.5,550,7365,MSFT
126,2022-08-22 08:16:00,281.48,281.74,281.48,281.56,253,7365,MSFT
133,2022-08-22 08:17:00,281.48,281.48,281.41,281.41,205,7365,MSFT
137,2022-08-22 08:18:00,281.42,281.44,281.41,281.41,85,7365,MSFT
143,2022-08-22 08:19:00,281.66,281.7,281.59,281.59,105,7365,MSFT
152,2022-08-22 08:20:00,281.59,281.7,281.59,281.7,221,7365,MSFT
156,2022-08-22 08:21:00,281.61,281.86,281.6,281.86,389,7365,MSFT
157,2022-08-22 08:22:00,281.88,281.88,281.88,281.88,17,7365,MSFT
164,2022-08-22 08:23:00,281.93,281.96,281.7,281.96,2199,7365,MSFT
174,2022-08-22 08:24:00,281.96,281.96,281.95,281.95,2,7365,MSFT
191,2022-08-22 08:26:00,281.76,281.76,281.73,281.73,6,7365,MSFT
193,2022-08-22 08:27:00,281.88,281.88,281.72,281.73,270,7365,MSFT
199,2022-08-22 08:28:00,281.85,282.18,281.85,282.18,2911,7365,MSFT
205,2022-08-22 08:29:00,282.06,282.19,282.05,282.19,834,7365,MSFT
210,2022-08-22 08:30:00,282.12,282.12,282.1,282.1,34,7365,MSFT
221,2022-08-22 08:31:00,282.1,282.1,282.07,282.07,133,7365,MSFT
225,2022-08-22 08:32:00,282.05,282.05,282.04,282.04,35,7365,MSFT
233,2022-08-22 08:33:00,282.04,282.04,282.0,282.0,4302,7365,MSFT
238,2022-08-22 08:35:00,281.76,281.76,281.55,281.7,72,7365,MSFT
249,2022-08-22 08:36:00,281.65,281.82,281.65,281.82,43,7365,MSFT
253,2022-08-22 08:37:00,281.7,281.7,281.67,281.67,213,7365,MSFT
263,2022-08-22 08:38:00,281.65,281.71,281.65,281.71,38,7365,MSFT
266,2022-08-22 08:39:00,281.71,281.72,281.71,281.72,26,7365,MSFT
273,2022-08-22 08:40:00,281.72,281.72,281.72,281.72,11,7365,MSFT
279,2022-08-22 08:41:00,281.7,281.7,281.7,281.7,62,7365,MSFT
288,2022-08-22 08:43:00,281.71,281.76,281.71,281.76,34,7365,MSFT
300,2022-08-22 08:44:00,281.76,281.76,281.76,281.76,6,7365,MSFT
309,2022-08-22 08:45:00,281.7,281.7,281.61,281.61,128,7365,MSFT
313,2022-08-22 08:46:00,281.8,281.85,281.77,281.85,355,7365,MSFT
314,2022-08-22 08:47:00,281.83,282.0,281.81,281.81,432,7365,MSFT
324,2022-08-22 08:48:00,281.82,281.82,281.82,281.82,1,7365,MSFT
328,2022-08-22 08:49:00,281.76,281.76,281.71,281.71,56,7365,MSFT
333,2022-08-22 08:50:00,281.73,281.89,281.73,281.74,5,7365,MSFT
340,2022-08-22 08:51:00,281.74,281.74,281.74,281.74,2,7365,MSFT
343,2022-08-22 08:52:00,281.75,281.76,281.75,281.75,26,7365,MSFT
346,2022-08-22 08:53:00,281.76,281.76,281.75,281.75,15,7365,MSFT
352,2022-08-22 08:54:00,281.77,281.95,281.77,281.89,86,7365,MSFT
360,2022-08-22 08:55:00,281.85,281.88,281.85,281.88,28,7365,MSFT
366,2022-08-22 08:56:00,281.84,282.0,281.84,281.89,54,7365,MSFT
371,2022-08-22 08:57:00,281.89,282.2,281.89,282.09,467,7365,MSFT
376,2022-08-22 08:58:00,282.03,282.03,282.0,282.0,137,7365,MSFT
385,2022-08-22 08:59:00,282.01,282.01,282.0,282.0,186,7365,MSFT
391,2022-08-22 09:00:00,281.98,281.98,281.9,281.9,27,7365,MSFT
395,2022-08-22 09:01:00,281.81,281.81,281.81,281.81,4,7365,MSFT
398,2022-08-22 09:02:00,281.82,281.82,281.82,281.82,1,7365,MSFT
402,2022-08-22 09:03:00,281.83,281.83,281.83,281.83,21,7365,MSFT
406,2022-08-22 09:04:00,281.83,281.84,281.83,281.84,45,7365,MSFT
412,2022-08-22 09:05:00,281.83,281.87,281.83,281.83,148,7365,MSFT
422,2022-08-22 09:06:00,281.76,281.76,281.76,281.76,1,7365,MSFT
424,2022-08-22 09:07:00,281.76,281.76,281.74,281.74,2,7365,MSFT
431,2022-08-22 09:08:00,281.74,281.76,281.73,281.73,43,7365,MSFT
439,2022-08-22 09:09:00,281.8,281.82,281.8,281.82,19,7365,MSFT
441,2022-08-22 09:10:00,281.82,281.96,281.82,281.96,27,7365,MSFT
447,2022-08-22 09:11:00,282.03,282.03,281.95,281.95,106,7365,MSFT
451,2022-08-22 09:12:00,281.84,281.84,281.81,281.81,100,7365,MSFT
456,2022-08-22 09:13:00,281.85,281.85,281.85,281.85,13,7365,MSFT
458,2022-08-22 09:14:00,281.85,281.85,281.85,281.85,10,7365,MSFT
467,2022-08-22 09:15:00,281.86,281.86,281.86,281.86,4,7365,MSFT
471,2022-08-22 09:16:00,281.84,281.84,281.82,281.82,50,7365,MSFT
477,2022-08-22 09:17:00,281.83,281.86,281.83,281.86,32,7365,MSFT
482,2022-08-22 09:18:00,281.95,282.03,281.9,281.9,288,7365,MSFT
487,2022-08-22 09:19:00,282.0,282.02,282.0,282.02,2,7365,MSFT
493,2022-08-22 09:20:00,282.06,282.06,282.0,282.0,15,7365,MSFT
495,2022-08-22 09:21:00,282.0,282.0,282.0,282.0,2,7365,MSFT
500,2022-08-22 09:22:00,282.1,282.1,282.1,282.1,4,7365,MSFT
506,2022-08-22 09:23:00,282.01,282.01,282.0,282.0,130,7365,MSFT
510,2022-08-22 09:24:00,281.9,281.9,281.9,281.9,15,7365,MSFT
517,2022-08-22 09:25:00,281.95,281.95,281.9,281.9,44,7365,MSFT
524,2022-08-22 09:27:00,281.85,281.85,281.85,281.85,1,7365,MSFT
527,2022-08-22 09:28:00,281.9,281.9,281.86,281.86,19,7365,MSFT
533,2022-08-22 09:29:00,281.81,281.81,281.81,281.81,6,7365,MSFT
539,2022-08-22 09:30:00,281.76,281.76,281.75,281.75,45,7365,MSFT
543,2022-08-22 09:31:00,281.71,281.71,281.7,281.7,5,7365,MSFT
548,2022-08-22 09:32:00,281.71,281.71,281.7,281.7,502,7365,MSFT
555,2022-08-22 09:33:00,281.7,281.7,281.5,281.5,838,7365,MSFT
557,2022-08-22 09:34:00,281.5,281.5,281.4,281.48,218,7365,MSFT
566,2022-08-22 09:35:00,281.46,281.46,281.46,281.46,2,7365,MSFT
567,2022-08-22 09:36:00,281.36,281.5,281.32,281.5,126,7365,MSFT
571,2022-08-22 09:37:00,281.46,281.5,281.37,281.37,248,7365,MSFT
579,2022-08-22 09:38:00,281.4,281.4,281.4,281.4,2,7365,MSFT
582,2022-08-22 09:39:00,281.4,281.4,281.4,281.4,30,7365,MSFT
588,2022-08-22 09:40:00,281.36,281.36,281.32,281.36,142,7365,MSFT
593,2022-08-22 09:41:00,281.36,281.5,281.36,281.5,54,7365,MSFT
604,2022-08-22 09:43:00,281.36,281.36,281.36,281.36,15,7365,MSFT
609,2022-08-22 09:44:00,281.37,281.4,281.37,281.4,19,7365,MSFT
614,2022-08-22 09:45:00,281.37,281.37,281.32,281.32,71,7365,MSFT
621,2022-08-22 09:46:00,281.4,281.41,281.4,281.41,21,7365,MSFT
623,2022-08-22 09:47:00,281.42,281.5,281.42,281.5,465,7365,MSFT
631,2022-08-22 09:48:00,281.51,281.51,281.51,281.51,5,7365,MSFT
633,2022-08-22 09:49:00,281.55,281.58,281.55,281.58,21,7365,MSFT
635,2022-08-22 09:50:00,281.6,281.6,281.6,281.6,5,7365,MSFT
640,2022-08-22 09:51:00,281.68,281.7,281.68,281.7,38,7365,MSFT
646,2022-08-22 09:52:00,281.6,281.75,281.6,281.75,145,7365,MSFT
648,2022-08-22 09:53:00,281.6,281.75,281.6,281.6,140,7365,MSFT
