,ts_event,open,high,low,close,volume,product_id,ticker
1,2022-03-01 09:00:00,297.28,298.09,297.28,298.09,379,7285,MSFT
7,2022-03-01 09:01:00,298.09,298.09,297.13,297.13,191,7285,MSFT
9,2022-03-01 09:02:00,297.53,297.53,297.21,297.21,17,7285,MSFT
16,2022-03-01 09:03:00,297.77,297.77,297.77,297.77,1,7285,MSFT
21,2022-03-01 09:04:00,297.75,297.75,297.39,297.59,17,7285,MSFT
28,2022-03-01 09:05:00,297.6,297.94,297.6,297.93,40,7285,MSFT
34,2022-03-01 09:06:00,297.3,297.3,297.3,297.3,1,7285,MSFT
35,2022-03-01 09:07:00,297.3,297.42,297.27,297.27,56,7285,MSFT
45,2022-03-01 09:08:00,297.25,297.25,297.0,297.0,39,7285,MSFT
50,2022-03-01 09:09:00,296.82,296.82,296.49,296.64,63,7285,MSFT
58,2022-03-01 09:10:00,296.8,297.09,296.8,297.0,72,7285,MSFT
61,2022-03-01 09:11:00,297.04,297.17,297.04,297.17,252,7285,MSFT
66,2022-03-01 09:12:00,297.17,297.29,297.16,297.16,220,7285,MSFT
77,2022-03-01 09:13:00,297.17,297.3,297.17,297.3,39,7285,MSFT
83,2022-03-01 09:14:00,297.0,297.27,297.0,297.07,14,7285,MSFT
88,2022-03-01 09:15:00,297.14,297.44,297.14,297.44,13,7285,MSFT
92,2022-03-01 09:16:00,297.39,297.59,297.39,297.59,190,7285,MSFT
100,2022-03-01 09:17:00,297.59,297.59,297.59,297.59,70,7285,MSFT
107,2022-03-01 09:19:00,297.44,297.44,297.44,297.44,10,7285,MSFT
115,2022-03-01 09:21:00,297.42,297.42,297.42,297.42,1,7285,MSFT
118,2022-03-01 09:22:00,297.31,297.31,297.31,297.31,3,7285,MSFT
123,2022-03-01 09:23:00,297.02,297.06,297.02,297.04,34,7285,MSFT
124,2022-03-01 09:24:00,297.11,297.11,297.02,297.02,67,7285,MSFT
130,2022-03-01 09:25:00,297.1,297.27,297.1,297.27,5,7285,MSFT
132,2022-03-01 09:26:00,297.0,297.0,297.0,297.0,10,7285,MSFT
140,2022-03-01 09:27:00,296.98,296.98,296.98,296.98,5,7285,MSFT
159,2022-03-01 09:31:00,296.9,296.94,296.9,296.94,10,7285,MSFT
163,2022-03-01 09:32:00,296.74,296.86,296.74,296.86,36,7285,MSFT
170,2022-03-01 09:33:00,296.88,297.11,296.88,297.11,68,7285,MSFT
178,2022-03-01 09:34:00,297.0,297.03,297.0,297.03,111,7285,MSFT
183,2022-03-01 09:35:00,297.1,297.1,297.1,297.1,23,7285,MSFT
187,2022-03-01 09:36:00,296.92,296.92,296.79,296.79,60,7285,MSFT
190,2022-03-01 09:37:00,296.81,296.81,296.81,296.81,10,7285,MSFT
197,2022-03-01 09:39:00,296.96,296.96,296.85,296.85,70,7285,MSFT
205,2022-03-01 09:41:00,296.85,296.85,296.85,296.85,1,7285,MSFT
208,2022-03-01 09:42:00,296.85,296.85,296.85,296.85,5,7285,MSFT
213,2022-03-01 09:43:00,296.78,296.78,296.78,296.78,10,7285,MSFT
217,2022-03-01 09:44:00,296.85,296.89,296.85,296.89,8,7285,MSFT
230,2022-03-01 09:46:00,296.89,297.29,296.83,296.83,672,7285,MSFT
234,2022-03-01 09:47:00,296.98,297.0,296.98,297.0,157,7285,MSFT
238,2022-03-01 09:48:00,297.0,297.01,297.0,297.0,90,7285,MSFT
250,2022-03-01 09:49:00,297.0,297.0,297.0,297.0,59,7285,MSFT
251,2022-03-01 09:50:00,297.0,297.01,297.0,297.01,19,7285,MSFT
258,2022-03-01 09:51:00,296.68,296.68,296.55,296.55,60,7285,MSFT
269,2022-03-01 09:53:00,296.55,296.55,296.55,296.55,1,7285,MSFT
271,2022-03-01 09:54:00,296.67,296.7,296.67,296.7,146,7285,MSFT
274,2022-03-01 09:55:00,296.97,296.97,296.7,296.7,11,7285,MSFT
281,2022-03-01 09:58:00,296.73,296.73,296.69,296.69,327,7285,MSFT
283,2022-03-01 09:59:00,296.69,296.69,296.58,296.58,40,7285,MSFT
299,2022-03-01 10:03:00,296.61,296.61,296.61,296.61,10,7285,MSFT
302,2022-03-01 10:04:00,296.58,296.58,296.43,296.43,36,7285,MSFT
307,2022-03-01 10:05:00,296.42,296.42,296.42,296.42,8,7285,MSFT
310,2022-03-01 10:06:00,296.38,296.38,296.0,296.0,280,7285,MSFT
318,2022-03-01 10:08:00,296.21,296.21,296.21,296.21,1,7285,MSFT
325,2022-03-01 10:09:00,296.21,296.21,296.09,296.09,13,7285,MSFT
329,2022-03-01 10:10:00,296.09,296.09,296.09,296.09,2,7285,MSFT
336,2022-03-01 10:11:00,296.09,296.24,296.09,296.24,37,7285,MSFT
344,2022-03-01 10:13:00,296.23,296.28,296.23,296.26,128,7285,MSFT
350,2022-03-01 10:14:00,296.29,296.29,296.29,296.29,39,7285,MSFT
357,2022-03-01 10:15:00,296.29,296.29,296.29,296.29,1,7285,MSFT
360,2022-03-01 10:16:00,296.32,296.57,296.31,296.57,42,7285,MSFT
364,2022-03-01 10:17:00,296.36,296.36,296.36,296.36,1,7285,MSFT
368,2022-03-01 10:18:00,296.69,296.7,296.69,296.7,59,7285,MSFT
372,2022-03-01 10:20:00,296.67,296.67,296.67,296.67,25,7285,MSFT
384,2022-03-01 10:23:00,296.9,296.9,296.9,296.9,1,7285,MSFT
386,2022-03-01 10:24:00,296.9,296.99,296.9,296.97,5,7285,MSFT
393,2022-03-01 10:25:00,296.97,296.97,296.9,296.91,6,7285,MSFT
396,2022-03-01 10:26:00,296.91,296.91,296.62,296.62,101,7285,MSFT
403,2022-03-01 10:28:00,296.7,296.7,296.7,296.7,1,7285,MSFT
407,2022-03-01 10:29:00,296.7,296.7,296.7,296.7,20,7285,MSFT
415,2022-03-01 10:30:00,296.62,296.62,296.62,296.62,1,7285,MSFT
434,2022-03-01 10:35:00,296.62,296.63,296.62,296.62,401,7285,MSFT
443,2022-03-01 10:37:00,296.5,296.5,296.45,296.45,29,7285,MSFT
450,2022-03-01 10:38:00,296.42,296.42,296.4,296.4,5,7285,MSFT
454,2022-03-01 10:39:00,296.4,296.42,296.4,296.42,2,7285,MSFT
457,2022-03-01 10:40:00,296.42,296.42,296.42,296.42,20,7285,MSFT
463,2022-03-01 10:41:00,296.56,296.58,296.56,296.58,2,7285,MSFT
466,2022-03-01 10:42:00,296.62,296.62,296.62,296.62,17,7285,MSFT
471,2022-03-01 10:43:00,296.63,296.63,296.63,296.63,1,7285,MSFT
475,2022-03-01 10:44:00,296.9,296.9,296.9,296.9,228,7285,MSFT
487,2022-03-01 10:47:00,296.62,297.0,296.61,297.0,344,7285,MSFT
488,2022-03-01 10:48:00,297.0,297.0,297.0,297.0,19,7285,MSFT
495,2022-03-01 10:49:00,297.0,297.0,297.0,297.0,33,7285,MSFT
499,2022-03-01 10:50:00,297.14,297.2,297.14,297.2,124,7285,MSFT
517,2022-03-01 10:53:00,297.2,297.2,297.2,297.2,107,7285,MSFT
522,2022-03-01 10:55:00,297.15,297.15,297.09,297.09,64,7285,MSFT
527,2022-03-01 10:56:00,297.08,297.1,297.08,297.1,49,7285,MSFT
533,2022-03-01 10:57:00,297.03,297.24,297.03,297.24,278,7285,MSFT
539,2022-03-01 10:59:00,297.21,297.21,297.21,297.21,1,7285,MSFT
543,2022-03-01 11:00:00,297.12,297.12,297.12,297.12,70,7285,MSFT
551,2022-03-01 11:02:00,297.12,297.12,297.12,297.12,2,7285,MSFT
556,2022-03-01 11:03:00,297.13,297.13,297.13,297.13,13,7285,MSFT
564,2022-03-01 11:04:00,297.13,297.19,297.13,297.19,8,7285,MSFT
572,2022-03-01 11:07:00,297.12,297.12,297.12,297.12,3,7285,MSFT
576,2022-03-01 11:08:00,297.19,297.19,297.19,297.19,1,7285,MSFT
