,ts_event,open,high,low,close,volume,product_id,ticker
5,2022-08-25 08:00:00,278.3,278.3,278.26,278.26,102,7355,MSFT
14,2022-08-25 08:01:00,278.46,278.46,278.46,278.46,30,7355,MSFT
18,2022-08-25 08:02:00,278.52,278.52,278.52,278.52,1,7355,MSFT
22,2022-08-25 08:03:00,278.54,278.6,278.4,278.55,168,7355,MSFT
34,2022-08-25 08:04:00,278.5,278.5,278.3,278.3,80,7355,MSFT
35,2022-08-25 08:05:00,278.43,278.48,278.4,278.43,84,7355,MSFT
44,2022-08-25 08:06:00,278.32,278.46,278.32,278.46,28,7355,MSFT
53,2022-08-25 08:07:00,278.32,278.32,278.2,278.21,148,7355,MSFT
59,2022-08-25 08:08:00,278.21,278.46,278.18,278.46,251,7355,MSFT
64,2022-08-25 08:09:00,278.41,278.42,278.39,278.39,92,7355,MSFT
70,2022-08-25 08:10:00,278.35,278.35,278.23,278.23,109,7355,MSFT
74,2022-08-25 08:11:00,278.3,278.49,278.27,278.27,333,7355,MSFT
80,2022-08-25 08:12:00,278.29,278.29,278.29,278.29,8,7355,MSFT
86,2022-08-25 08:13:00,278.36,278.36,278.29,278.29,32,7355,MSFT
90,2022-08-25 08:14:00,278.29,278.34,278.29,278.32,17,7355,MSFT
97,2022-08-25 08:15:00,278.34,278.34,278.22,278.23,198,7355,MSFT
103,2022-08-25 08:16:00,278.08,278.2,278.08,278.2,37,7355,MSFT
109,2022-08-25 08:17:00,278.18,278.18,278.16,278.16,118,7355,MSFT
115,2022-08-25 08:18:00,278.16,278.16,278.03,278.14,36,7355,MSFT
116,2022-08-25 08:19:00,278.03,278.18,278.03,278.18,53,7355,MSFT
127,2022-08-25 08:20:00,278.18,278.2,278.18,278.19,6,7355,MSFT
129,2022-08-25 08:21:00,278.19,278.19,278.19,278.19,1,7355,MSFT
133,2022-08-25 08:22:00,278.05,278.17,278.05,278.17,5,7355,MSFT
140,2022-08-25 08:23:00,278.1,278.2,278.1,278.2,30,7355,MSFT
143,2022-08-25 08:24:00,278.12,278.12,278.12,278.12,9,7355,MSFT
147,2022-08-25 08:25:00,278.13,278.13,278.13,278.13,1,7355,MSFT
152,2022-08-25 08:26:00,278.14,278.14,278.14,278.14,6,7355,MSFT
154,2022-08-25 08:27:00,278.16,278.22,278.15,278.22,120,7355,MSFT
162,2022-08-25 08:29:00,278.2,278.2,278.2,278.2,5,7355,MSFT
165,2022-08-25 08:30:00,278.22,278.22,278.22,278.22,21,7355,MSFT
171,2022-08-25 08:31:00,278.19,278.2,278.19,278.2,13,7355,MSFT
174,2022-08-25 08:32:00,278.22,278.22,278.22,278.22,23,7355,MSFT
181,2022-08-25 08:34:00,278.22,278.22,278.22,278.22,1,7355,MSFT
185,2022-08-25 08:35:00,278.27,278.33,278.27,278.33,70,7355,MSFT
190,2022-08-25 08:36:00,278.23,278.35,278.23,278.35,22,7355,MSFT
200,2022-08-25 08:38:00,278.34,278.34,278.34,278.34,4,7355,MSFT
206,2022-08-25 08:41:00,278.34,278.34,278.34,278.34,15,7355,MSFT
212,2022-08-25 08:42:00,278.31,278.31,278.31,278.31,3,7355,MSFT
217,2022-08-25 08:44:00,278.3,278.3,278.3,278.3,10,7355,MSFT
220,2022-08-25 08:45:00,278.25,278.25,278.25,278.25,2,7355,MSFT
222,2022-08-25 08:46:00,278.28,278.28,278.25,278.25,6,7355,MSFT
226,2022-08-25 08:47:00,278.25,278.34,278.25,278.34,106,7355,MSFT
229,2022-08-25 08:48:00,278.25,278.34,278.25,278.34,50,7355,MSFT
235,2022-08-25 08:49:00,278.33,278.33,278.33,278.33,10,7355,MSFT
239,2022-08-25 08:50:00,278.3,278.3,278.3,278.3,1,7355,MSFT
241,2022-08-25 08:51:00,278.33,278.33,278.33,278.33,10,7355,MSFT
246,2022-08-25 08:52:00,278.31,278.31,278.31,278.31,1,7355,MSFT
250,2022-08-25 08:54:00,278.24,278.24,278.24,278.24,1,7355,MSFT
254,2022-08-25 08:55:00,278.31,278.33,278.31,278.33,26,7355,MSFT
266,2022-08-25 08:59:00,278.34,278.34,278.34,278.34,10,7355,MSFT
268,2022-08-25 09:00:00,278.36,278.36,278.36,278.36,11,7355,MSFT
273,2022-08-25 09:01:00,278.36,278.36,278.36,278.36,2,7355,MSFT
274,2022-08-25 09:02:00,278.36,278.4,278.36,278.4,765,7355,MSFT
279,2022-08-25 09:03:00,278.42,278.47,278.42,278.47,15,7355,MSFT
284,2022-08-25 09:04:00,278.38,278.43,278.26,278.26,247,7355,MSFT
286,2022-08-25 09:05:00,278.31,278.31,278.2,278.2,456,7355,MSFT
295,2022-08-25 09:06:00,278.25,278.25,278.25,278.25,44,7355,MSFT
302,2022-08-25 09:09:00,278.27,278.27,278.27,278.27,21,7355,MSFT
305,2022-08-25 09:10:00,278.29,278.29,278.28,278.28,21,7355,MSFT
315,2022-08-25 09:11:00,278.28,278.28,278.23,278.23,11,7355,MSFT
317,2022-08-25 09:12:00,278.26,278.26,278.26,278.26,10,7355,MSFT
323,2022-08-25 09:13:00,278.28,278.28,278.28,278.28,118,7355,MSFT
331,2022-08-25 09:15:00,278.29,278.29,278.29,278.29,101,7355,MSFT
337,2022-08-25 09:16:00,278.19,278.24,278.08,278.18,338,7355,MSFT
343,2022-08-25 09:17:00,278.18,278.18,277.95,277.95,649,7355,MSFT
344,2022-08-25 09:18:00,277.95,277.95,277.95,277.95,11,7355,MSFT
