,ts_event,open,high,low,close,volume,product_id,ticker
0,2022-09-08 08:00:00,257.93,258.38,257.78,258.33,507,7350,MSFT
8,2022-09-08 08:01:00,258.09,258.27,257.79,257.79,79,7350,MSFT
15,2022-09-08 08:02:00,257.7,257.7,257.7,257.7,10,7350,MSFT
17,2022-09-08 08:03:00,257.92,257.92,257.7,257.7,47,7350,MSFT
23,2022-09-08 08:04:00,257.74,257.79,257.74,257.74,94,7350,MSFT
28,2022-09-08 08:05:00,257.84,257.9,257.84,257.9,32,7350,MSFT
34,2022-09-08 08:06:00,257.9,257.92,257.9,257.9,124,7350,MSFT
36,2022-09-08 08:07:00,257.9,257.9,257.9,257.9,1,7350,MSFT
39,2022-09-08 08:08:00,257.9,258.02,257.9,258.02,3,7350,MSFT
45,2022-09-08 08:10:00,257.7,257.7,257.7,257.7,8,7350,MSFT
46,2022-09-08 08:11:00,257.83,257.84,257.83,257.84,10,7350,MSFT
52,2022-09-08 08:14:00,257.74,257.74,257.74,257.74,50,7350,MSFT
59,2022-09-08 08:16:00,257.88,257.88,257.88,257.88,10,7350,MSFT
64,2022-09-08 08:17:00,258.09,258.09,258.09,258.09,14,7350,MSFT
70,2022-09-08 08:18:00,258.01,258.01,258.0,258.0,22,7350,MSFT
73,2022-09-08 08:19:00,258.09,258.09,258.09,258.09,1,7350,MSFT
76,2022-09-08 08:20:00,258.08,258.08,258.08,258.08,10,7350,MSFT
79,2022-09-08 08:21:00,257.99,258.0,257.99,258.0,512,7350,MSFT
83,2022-09-08 08:22:00,258.0,258.0,257.99,257.99,150,7350,MSFT
88,2022-09-08 08:23:00,257.91,257.91,257.91,257.91,5,7350,MSFT
95,2022-09-08 08:27:00,257.94,257.94,257.94,257.94,1,7350,MSFT
100,2022-09-08 08:30:00,257.98,257.98,257.98,257.98,5,7350,MSFT
106,2022-09-08 08:31:00,257.82,257.82,257.82,257.82,20,7350,MSFT
109,2022-09-08 08:32:00,257.91,257.91,257.83,257.83,3,7350,MSFT
113,2022-09-08 08:33:00,257.9,257.98,257.9,257.98,200,7350,MSFT
122,2022-09-08 08:36:00,257.89,257.89,257.89,257.89,2,7350,MSFT
125,2022-09-08 08:38:00,257.89,257.89,257.89,257.89,2,7350,MSFT
127,2022-09-08 08:39:00,257.96,257.96,257.96,257.96,3,7350,MSFT
132,2022-09-08 08:40:00,257.96,258.0,257.96,258.0,106,7350,MSFT
134,2022-09-08 08:41:00,257.86,257.86,257.86,257.86,1,7350,MSFT
141,2022-09-08 08:43:00,258.0,258.0,258.0,258.0,123,7350,MSFT
143,2022-09-08 08:44:00,258.07,258.07,258.07,258.07,30,7350,MSFT
146,2022-09-08 08:45:00,258.08,258.1,258.08,258.1,214,7350,MSFT
153,2022-09-08 08:47:00,258.14,258.14,258.14,258.14,2,7350,MSFT
154,2022-09-08 08:48:00,258.14,258.14,258.14,258.14,1,7350,MSFT
159,2022-09-08 08:51:00,258.13,258.13,258.13,258.13,50,7350,MSFT
164,2022-09-08 08:53:00,258.23,258.23,258.22,258.23,34,7350,MSFT
167,2022-09-08 08:54:00,258.13,258.13,258.13,258.13,1,7350,MSFT
171,2022-09-08 08:55:00,258.15,258.25,258.15,258.25,54,7350,MSFT
176,2022-09-08 08:58:00,258.25,258.46,258.25,258.46,130,7350,MSFT
203,2022-09-08 09:11:00,258.17,258.17,258.17,258.17,35,7350,MSFT
214,2022-09-08 09:15:00,258.37,258.37,258.37,258.37,1,7350,MSFT
223,2022-09-08 09:22:00,258.37,258.37,258.37,258.37,1,7350,MSFT
224,2022-09-08 09:23:00,258.37,258.37,258.37,258.37,1,7350,MSFT
230,2022-09-08 09:25:00,258.35,258.35,258.35,258.35,3,7350,MSFT
235,2022-09-08 09:27:00,258.34,258.34,258.34,258.34,3,7350,MSFT
241,2022-09-08 09:29:00,258.34,258.34,258.34,258.34,3,7350,MSFT
243,2022-09-08 09:30:00,258.33,258.33,258.33,258.33,2,7350,MSFT
250,2022-09-08 09:33:00,258.2,258.2,258.19,258.19,16,7350,MSFT
253,2022-09-08 09:34:00,258.19,258.19,258.19,258.19,3,7350,MSFT
264,2022-09-08 09:39:00,258.34,258.34,258.34,258.34,1,7350,MSFT
269,2022-09-08 09:41:00,258.34,258.41,258.34,258.41,3,7350,MSFT
273,2022-09-08 09:42:00,258.43,258.43,258.43,258.43,1,7350,MSFT
275,2022-09-08 09:43:00,258.3,258.3,258.3,258.3,1,7350,MSFT
277,2022-09-08 09:44:00,258.23,258.23,258.17,258.17,6,7350,MSFT
287,2022-09-08 09:51:00,258.17,258.17,258.17,258.17,4,7350,MSFT
290,2022-09-08 09:52:00,258.28,258.28,258.28,258.28,10,7350,MSFT
294,2022-09-08 09:54:00,258.27,258.27,258.27,258.27,1,7350,MSFT
301,2022-09-08 10:00:00,258.17,258.17,258.17,258.17,2,7350,MSFT
315,2022-09-08 10:05:00,258.36,258.36,258.36,258.36,2,7350,MSFT
