,ts_event,open,high,low,close,volume,product_id,ticker
10,2022-08-01 08:00:00,280.6,280.6,280.42,280.6,60,7361,MSFT
11,2022-08-01 08:01:00,280.58,280.58,280.5,280.5,26,7361,MSFT
20,2022-08-01 08:02:00,280.3,280.3,280.3,280.3,8,7361,MSFT
24,2022-08-01 08:03:00,280.39,280.4,280.3,280.3,45,7361,MSFT
35,2022-08-01 08:04:00,280.3,280.3,280.3,280.3,41,7361,MSFT
41,2022-08-01 08:05:00,280.3,280.3,280.3,280.3,43,7361,MSFT
53,2022-08-01 08:07:00,280.15,280.18,280.02,280.18,222,7361,MSFT
58,2022-08-01 08:08:00,280.28,280.4,280.14,280.27,373,7361,MSFT
61,2022-08-01 08:09:00,280.1,280.1,280.01,280.01,165,7361,MSFT
77,2022-08-01 08:11:00,280.01,280.01,280.01,280.01,5,7361,MSFT
84,2022-08-01 08:12:00,280.26,280.28,280.26,280.28,35,7361,MSFT
91,2022-08-01 08:13:00,280.25,280.25,280.25,280.25,1,7361,MSFT
97,2022-08-01 08:14:00,280.23,280.23,280.23,280.23,4,7361,MSFT
108,2022-08-01 08:16:00,280.01,280.01,280.01,280.01,45,7361,MSFT
111,2022-08-01 08:17:00,280.2,280.2,280.2,280.2,97,7361,MSFT
125,2022-08-01 08:19:00,280.2,280.2,280.02,280.02,41,7361,MSFT
134,2022-08-01 08:21:00,280.02,280.02,280.02,280.02,6,7361,MSFT
138,2022-08-01 08:22:00,280.05,280.05,280.04,280.04,20,7361,MSFT
154,2022-08-01 08:25:00,280.04,280.04,280.01,280.01,69,7361,MSFT
161,2022-08-01 08:26:00,280.04,280.13,280.04,280.13,50,7361,MSFT
175,2022-08-01 08:28:00,280.03,280.03,280.03,280.03,25,7361,MSFT
177,2022-08-01 08:29:00,280.01,280.03,280.01,280.03,6,7361,MSFT
191,2022-08-01 08:31:00,280.1,280.15,280.1,280.1,25,7361,MSFT
198,2022-08-01 08:32:00,280.05,280.05,280.05,280.05,10,7361,MSFT
211,2022-08-01 08:34:00,280.07,280.07,280.02,280.02,22,7361,MSFT
