,ts_event,open,high,low,close,volume,product_id,ticker
1,2022-12-30 09:00:00,238.96,239.54,238.87,239.5,234,7091,MSFT
8,2022-12-30 09:01:00,239.65,239.65,239.48,239.48,25,7091,MSFT
15,2022-12-30 09:03:00,239.48,239.48,239.45,239.45,30,7091,MSFT
21,2022-12-30 09:04:00,239.0,239.0,239.0,239.0,6,7091,MSFT
25,2022-12-30 09:05:00,239.0,239.0,239.0,239.0,1,7091,MSFT
30,2022-12-30 09:06:00,239.12,239.12,239.12,239.12,5,7091,MSFT
39,2022-12-30 09:07:00,239.17,239.17,239.17,239.17,9,7091,MSFT
41,2022-12-30 09:08:00,239.3,239.3,239.3,239.3,3,7091,MSFT
50,2022-12-30 09:09:00,239.4,239.4,239.4,239.4,35,7091,MSFT
66,2022-12-30 09:14:00,239.38,239.38,239.33,239.33,21,7091,MSFT
67,2022-12-30 09:15:00,239.5,239.5,239.5,239.5,8,7091,MSFT
70,2022-12-30 09:16:00,239.36,239.36,239.36,239.36,55,7091,MSFT
73,2022-12-30 09:17:00,239.39,239.39,239.39,239.39,100,7091,MSFT
78,2022-12-30 09:18:00,239.39,239.39,239.39,239.39,33,7091,MSFT
82,2022-12-30 09:19:00,239.61,239.61,239.61,239.61,3,7091,MSFT
87,2022-12-30 09:20:00,239.36,239.36,239.13,239.13,357,7091,MSFT
91,2022-12-30 09:22:00,239.35,239.35,239.15,239.15,33,7091,MSFT
101,2022-12-30 09:25:00,239.07,239.07,239.07,239.07,5,7091,MSFT
102,2022-12-30 09:26:00,238.95,238.95,238.95,238.95,6,7091,MSFT
118,2022-12-30 09:35:00,239.33,239.63,239.31,239.31,693,7091,MSFT
122,2022-12-30 09:36:00,239.34,239.34,239.34,239.34,20,7091,MSFT
126,2022-12-30 09:38:00,239.37,239.37,239.37,239.37,1,7091,MSFT
127,2022-12-30 09:39:00,239.24,239.24,239.24,239.24,1,7091,MSFT
138,2022-12-30 09:43:00,239.41,239.41,239.39,239.4,492,7091,MSFT
142,2022-12-30 09:45:00,239.4,239.4,239.4,239.4,28,7091,MSFT
145,2022-12-30 09:47:00,239.4,239.4,239.4,239.4,5,7091,MSFT
161,2022-12-30 09:53:00,239.4,239.4,239.4,239.4,6,7091,MSFT
164,2022-12-30 09:55:00,239.43,239.55,239.43,239.55,84,7091,MSFT
166,2022-12-30 09:56:00,239.64,239.64,239.64,239.64,50,7091,MSFT
170,2022-12-30 09:58:00,239.84,239.84,239.8,239.8,36,7091,MSFT
176,2022-12-30 10:00:00,239.81,239.82,239.81,239.81,84,7091,MSFT
179,2022-12-30 10:01:00,239.71,239.71,239.71,239.71,42,7091,MSFT
207,2022-12-30 10:15:00,239.74,239.74,239.74,239.74,35,7091,MSFT
211,2022-12-30 10:16:00,239.7,239.7,239.7,239.7,10,7091,MSFT
226,2022-12-30 10:22:00,239.82,240.04,239.82,240.04,340,7091,MSFT
234,2022-12-30 10:25:00,239.88,239.88,239.88,239.88,88,7091,MSFT
244,2022-12-30 10:29:00,240.33,240.33,240.33,240.33,11,7091,MSFT
258,2022-12-30 10:35:00,240.1,240.1,240.1,240.1,10,7091,MSFT
262,2022-12-30 10:38:00,240.32,240.32,240.05,240.05,40,7091,MSFT
264,2022-12-30 10:39:00,240.32,240.32,240.32,240.32,1,7091,MSFT
276,2022-12-30 10:44:00,240.28,240.29,240.28,240.29,20,7091,MSFT
280,2022-12-30 10:45:00,240.32,240.48,240.32,240.48,38,7091,MSFT
281,2022-12-30 10:46:00,240.5,240.6,240.5,240.6,33,7091,MSFT
287,2022-12-30 10:48:00,240.48,240.48,240.48,240.48,100,7091,MSFT
304,2022-12-30 10:57:00,240.01,240.01,240.01,240.01,100,7091,MSFT
309,2022-12-30 10:58:00,240.0,240.0,240.0,240.0,1,7091,MSFT
315,2022-12-30 11:02:00,240.0,240.0,240.0,240.0,25,7091,MSFT
319,2022-12-30 11:03:00,239.97,239.97,239.97,239.97,20,7091,MSFT
326,2022-12-30 11:05:00,239.88,240.01,239.88,240.01,26,7091,MSFT
331,2022-12-30 11:06:00,239.79,239.79,239.79,239.79,21,7091,MSFT
335,2022-12-30 11:09:00,239.85,239.85,239.79,239.79,200,7091,MSFT
337,2022-12-30 11:10:00,240.0,240.0,240.0,240.0,50,7091,MSFT
339,2022-12-30 11:12:00,239.99,240.01,239.91,239.91,81,7091,MSFT
341,2022-12-30 11:13:00,239.82,239.82,239.82,239.82,76,7091,MSFT
347,2022-12-30 11:16:00,239.74,239.74,239.73,239.73,16,7091,MSFT
